ad_id,campaign_id,fb_campaign_id,age,gender,Shares,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,Date,State,Sale Amount,Ad Manager,Ad_group,Campaign 
8946,4044,1034044,30-34,M,15,7350,1,1.429999948,2,1,1/1/2015,New York,9.99,Tina,Ad Group D,Campaign 1
8949,4044,103917,30-34,M,16,17861,2,1.820000023,2,0,1/2/2015,California,9.99,Jess,Ad Group D,Campaign 1
9015,4044,103928,30-34,M,28,4259,1,1.25,1,0,1/3/2015,Washington,9.99,Tom,Ad Group A,Campaign 3
9018,4044,103928,30-34,M,28,4133,1,1.289999962,1,1,1/4/2015,New York,9.99,Jess,Ad Group E,Campaign 1
9089,4044,103940,30-34,M,15,15615,3,4.769999981,1,0,1/5/2015,Oregon,9.99,Tom,Ad Group A,Campaign 3
9095,4044,103941,30-34,M,16,10951,1,1.269999981,1,1,1/6/2015,Washington,9.99,Jess,Ad Group B,Campaign 2
9153,4044,103951,30-34,M,27,2355,1,1.5,1,0,1/7/2015,New York,9.99,Tina,Ad Group D,Campaign 1
9158,4044,103952,30-34,M,28,9502,3,3.159999967,1,0,1/8/2015,California,9.99,Tina,Ad Group D,Campaign 1
9259,4044,103968,30-34,M,20,14669,7,10.28000021,1,1,1/9/2015,Oregon,9.99,Jess,Ad Group A,Campaign 3
9315,4044,103978,30-34,M,30,2305,1,0.569999993,1,0,1/10/2015,New York,9.99,Tom,Ad Group E,Campaign 1
9379,4044,103988,35-39,M,15,4627,1,1.690000057,1,0,1/11/2015,Oregon,9.99,Jess,Ad Group A,Campaign 3
9383,4044,103989,35-39,M,16,21026,4,4.630000114,2,1,1/12/2015,Washington,9.99,Tom,Ad Group B,Campaign 2
9523,4044,104012,35-39,M,15,7132,2,2.609999895,1,0,1/13/2015,California,9.99,Jess,Ad Group D,Campaign 1
9526,4044,104013,35-39,M,16,12190,2,3.049999952,1,0,1/14/2015,Oregon,9.99,Tina,Ad Group D,Campaign 1
9527,4044,104013,35-39,M,16,12193,2,3.059999943,1,1,1/15/2015,Washington,9.99,Tina,Ad Group A,Campaign 3
9744,4044,104049,35-39,M,29,7440,2,2.980000019,1,1,1/16/2015,Oregon,9.99,Jess,Ad Group E,Campaign 1
9814,4044,104061,40-44,M,16,19113,4,5.5200001,1,0,1/17/2015,Washington,9.99,Tom,Ad Group A,Campaign 3
9956,4044,104085,40-44,M,16,10976,2,1.690000057,1,1,1/18/2015,New York,9.99,Jess,Ad Group B,Campaign 2
10101,4044,104109,40-44,M,16,23817,7,8.470000148,1,1,1/19/2015,Illinois,9.99,Tom,Ad Group D,Campaign 1
10245,4044,104133,45-49,M,16,47224,12,15.82000017,1,0,1/20/2015,Washington,9.99,Jess,Ad Group D,Campaign 1
10288,4044,104140,45-49,M,24,2283,1,1.470000029,1,0,1/21/2015,New York,9.99,Tina,Ad Group A,Campaign 3
10560,4044,104185,45-49,M,21,2182,1,1.529999971,1,1,1/22/2015,California,9.99,Tina,Ad Group E,Campaign 1
10680,4044,104205,30-34,F,16,57665,14,18.06999969,1,1,1/23/2015,New Mexico,9.99,Jess,Ad Group A,Campaign 3
10771,4044,104220,30-34,F,32,3091,1,1.610000014,1,1,1/24/2015,New York,9.99,Tom,Ad Group B,Campaign 2
10817,4044,104228,30-34,F,15,5014,1,1.190000057,1,0,1/25/2015,California,9.99,Jess,Ad Group D,Campaign 1
10823,4044,104229,30-34,F,16,38726,7,9.220000267,1,0,1/26/2015,Oregon,9.99,Tom,Ad Group D,Campaign 1
10963,4044,104252,30-34,F,15,5369,1,1.50999999,1,0,1/27/2015,Texas,9.99,Jess,Ad Group A,Campaign 3
11036,4044,104265,30-34,F,29,22221,7,9.430000067,1,1,1/28/2015,Florida,9.99,Tina,Ad Group E,Campaign 1
11080,4044,104272,30-34,F,65,13019,5,6.960000038,1,0,1/29/2015,Washington,9.99,Tina,Ad Group A,Campaign 3
11161,4044,104285,35-39,F,25,2508,1,1.220000029,1,0,1/30/2015,New York,9.99,Jess,Ad Group B,Campaign 2
11168,4044,104287,35-39,F,27,5864,2,2.799999952,1,1,1/31/2015,California,9.99,Tom,Ad Group D,Campaign 1
11417,4044,104328,35-39,F,20,2783,1,1.600000024,1,0,2/1/2015,Oregon,9.99,Jess,Ad Group D,Campaign 1
11823,4044,104396,40-44,F,15,3812,1,1.129999995,2,1,2/2/2015,Washington,9.99,Tom,Ad Group B,Campaign 2
11964,4044,104419,45-49,F,10,11199,4,5.730000019,1,1,2/3/2015,New York,9.99,Jess,Ad Group D,Campaign 1
12077,4044,104438,45-49,F,63,17572,7,9.379999995,1,0,2/4/2015,Oregon,9.99,Tina,Ad Group D,Campaign 1
34410,312,108654,30-34,M,10,13329,4,5.629999995,1,1,2/5/2015,Texas,9.99,Tina,Ad Group A,Campaign 3
34415,312,108655,30-34,M,15,13659,3,3.840000033,1,0,2/6/2015,Florida,9.99,Jess,Ad Group E,Campaign 1
34490,312,108668,30-34,M,29,5374,1,1.039999962,4,0,2/7/2015,California,9.99,Tom,Ad Group A,Campaign 3
34552,312,108678,35-39,M,10,4423,1,1.460000038,1,1,2/8/2015,New York,9.99,Jess,Ad Group B,Campaign 2
34561,312,108680,35-39,M,16,12382,2,2.839999914,1,1,2/9/2015,California,9.99,Tom,Ad Group D,Campaign 1
34581,312,108683,35-39,M,20,2938,1,1.350000024,1,1,2/10/2015,Oregon,9.99,Jess,Ad Group D,Campaign 1
34621,312,108690,35-39,M,27,10332,4,5.75,1,0,2/11/2015,Texas,9.99,Tina,Ad Group B,Campaign 2
34627,312,108691,35-39,M,28,8259,3,3.980000019,1,0,2/12/2015,Florida,9.99,Tina,Ad Group D,Campaign 1
34633,312,108692,35-39,M,29,12158,3,4.449999928,1,0,2/13/2015,Illinois,9.99,Jess,Ad Group D,Campaign 1
34782,312,108716,40-44,M,29,7709,2,1.320000052,2,0,2/14/2015,Washington,9.99,Tom,Ad Group A,Campaign 3
34926,312,108740,45-49,M,29,10466,3,4.090000033,1,0,2/15/2015,Washington,9.99,Jess,Ad Group E,Campaign 1
34985,312,108750,30-34,F,10,5576,1,1.529999971,1,1,2/16/2015,California,9.99,Tom,Ad Group A,Campaign 3
34996,312,108752,30-34,F,16,39337,7,10.03000009,1,1,2/17/2015,Washington,9.99,Jess,Ad Group B,Campaign 2
35052,312,108761,30-34,F,26,13479,3,4.25,1,0,2/18/2015,Florida,9.99,Tina,Ad Group D,Campaign 1
35054,312,108762,30-34,F,27,57022,13,20.29000032,3,3,2/19/2015,Illinois,9.99,Tina,Ad Group D,Campaign 1
35056,312,108762,30-34,F,27,5453,1,1.389999986,1,1,2/20/2015,Washington,9.99,Jess,Ad Group B,Campaign 2
35066,312,108764,30-34,F,29,11803,3,4.440000057,1,0,2/21/2015,New York,9.99,Tom,Ad Group D,Campaign 1
35081,312,108766,30-34,F,31,4259,1,1.570000052,1,1,2/22/2015,California,9.99,Jess,Ad Group D,Campaign 1
35103,312,108770,30-34,F,64,5323,1,1.289999962,1,1,2/23/2015,Washington,9.99,Tom,Ad Group A,Campaign 3
